Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.2-10.0.0.7-8129-10192-6,10.0.0.2,8129,10.0.0.7,10192,6,12/02/2021 01:02:10 am,5088736,51,0,0,0,0,0,0,0,0,0,0,0,0,10.0221351628381,101774.72,719345.686163419,5086586,30,5088736,101774.72,719345.686163419,5086586,30,0,0,0,0,0,0,0,0,0,1020,0,10.0221351628381,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,639,0,639,639,806526967974771,1.14060136933605E+015,1613053930862956,5086586,discontinuousDDoS
10.0.0.2-10.0.0.7-14200-30857-6,10.0.0.2,14200,10.0.0.7,30857,6,12/02/2021 06:16:08 am,7242435,215,0,0,0,0,0,0,0,0,0,0,0,0,29.6861483741311,33843.1542056075,351713.274567488,4118646,33,7242435,33843.1542056075,351713.274567488,4118646,33,0,0,0,0,0,0,0,0,0,4300,0,29.6861483741311,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1.61307276870307E+015,0,1.61307276870307E+015,1.61307276870307E+015,discontinuousDDoS
10.0.0.2-10.0.0.7-11304-43382-6,10.0.0.2,11304,10.0.0.7,43382,6,11/02/2021 11:39:24 pm,18483537,233,0,0,0,0,0,0,0,0,0,0,0,0,12.6058124048444,79670.4181034482,542315.186936752,4099031,2,18483537,79670.4181034482,542315.186936752,4099031,2,0,0,0,0,0,0,0,0,0,4660,0,12.6058124048444,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613048964886716,0,1613048964886716,1613048964886716,discontinuousDDoS
10.0.0.2-10.0.0.7-12558-23656-6,10.0.0.2,12558,10.0.0.7,23656,6,12/02/2021 06:27:14 am,22791055,340,0,0,0,0,0,0,0,0,0,0,0,0,14.9181334519179,67230.2507374631,471685.730832447,4115293,107,22791055,67230.2507374631,471685.730832447,4115293,107,0,0,0,0,0,0,0,0,0,6800,0,14.9181334519179,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613073434467328,0,1613073434467328,1613073434467328,discontinuousDDoS
10.0.0.2-10.0.0.7-10664-36447-6,10.0.0.2,10664,10.0.0.7,36447,6,12/02/2021 02:20:04 am,27833531,489,0,0,0,0,0,0,0,0,0,0,0,0,17.5687375058522,57035.9241803279,468676.324757522,5103112,2,27833531,57035.9241803279,468676.324757522,5103112,2,0,0,0,0,0,0,0,0,0,9780,0,17.5687375058522,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,3107989.5,1430859.56310901,4119760,2096219,537686204966078,931299816700774,1613058604702960,5092163,discontinuousDDoS
10.0.0.2-10.0.0.7-10061-29213-6,10.0.0.2,10061,10.0.0.7,29213,6,12/02/2021 09:14:49 am,32937054,450,0,0,0,0,0,0,0,0,0,0,0,0,13.6624240892947,73356.4677060134,560013.615070958,5120966,40,32937054,73356.4677060134,560013.615070958,5120966,40,0,0,0,0,0,0,0,0,0,9000,0,13.6624240892947,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,5861707.33333333,10148976.5706446,17580736,1319,403270876288556,806541742353427,1.6130834898187E+015,5103373,discontinuousDDoS
10.0.0.2-10.0.0.7-9096-33617-6,10.0.0.2,9096,10.0.0.7,33617,6,12/02/2021 04:03:51 am,33124869,460,0,0,0,0,0,0,0,0,0,0,0,0,13.8868473713813,72167.4705882353,512766.271042653,5126449,2,33124869,72167.4705882353,512766.271042653,5126449,2,0,0,0,0,0,0,0,0,0,9200,0,13.8868473713813,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,8853889,9532104.88052413,15594105,2113673,537688280627751,931303411844297,1613064831678794,5078010,discontinuousDDoS
10.0.0.2-10.0.0.7-12378-31334-6,10.0.0.2,12378,10.0.0.7,31334,6,12/02/2021 07:32:15 am,4104676,28,0,0,0,0,0,0,0,0,0,0,0,0,6.82148846827374,152025.037037037,789271.963414848,4101307,95,4104676,152025.037037037,789271.963414848,4101307,95,0,0,0,0,0,0,0,0,0,560,0,6.82148846827374,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613077335811087,0,1613077335811087,1613077335811087,discontinuousDDoS
10.0.0.2-10.0.0.7-11011-34644-6,10.0.0.2,11011,10.0.0.7,34644,6,12/02/2021 12:55:49 am,11269594,90,0,0,0,0,0,0,0,0,0,0,0,0,7.98609071453683,126624.651685393,703586.738570566,5091584,26,11269594,126624.651685393,703586.738570566,5091584,26,0,0,0,0,0,0,0,0,0,1800,0,7.98609071453683,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,3092409,0,3092409,3092409,806526777238920,1140601099587757,1613053549386255,5091584,discontinuousDDoS
10.0.0.2-10.0.0.7-13576-55335-6,10.0.0.2,13576,10.0.0.7,55335,6,12/02/2021 01:57:45 am,26846017,455,0,0,0,0,0,0,0,0,0,0,0,0,16.9485104624645,59132.1960352423,469087.819529061,5106497,2,26846017,59132.1960352423,469087.819529061,5106497,2,0,0,0,0,0,0,0,0,0,9100,0,16.9485104624645,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,4664809,2191294.2164123,6214288,3115330,537685758555277,931299043494567,1.61305726547054E+015,5088798,discontinuousDDoS
